Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Memory Store Efficiency(%),HP Instructions(Half),Unified Cache Transactions,Floating Point Operations(Double Precision),Floating Point Operations(Single Precision),Shared Memory Load Throughput(bytes/sec),Floating Point Operations(Half Precision),Shared Memory Store Throughput(bytes/sec),Global Memory Load Efficiency(%),Global Hit Rate in unified l1/tex(%),L2 Transactions (Texture Reads),Local Hit Rate(%),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),Global Load Throughput(bytes/sec),L2 Transactions (Texture Writes),Global Store Throughput(bytes/sec),Unified Cache Hit Rate(%),Shared Memory Efficiency(%),FP Instructions(Single),FP Instructions(Double),Integer Instructions,Shared Store Transactions,Shared Load Transactions
"maxwell_scudnn_128x32_relu_small_nn",1,80963,92,8192,0,82.04,0,692622,0,245407744,1550070000000,0,663377000000,32.992,63.291,727865,0,259958000000,209978000000,787945000000,644065,255946000000,57.661,145.104,131298432,0,74706560,417332,975152
"void cudnn::detail::bn_fw_tr_1C11_singleread<float, int=512, bool=1, int=1, int=2, int=10>(cudnnTensorStruct, float const *, cudnn::detail::bn_fw_tr_1C11_singleread<float, int=512, bool=1, int=1, int=2, int=10>, cudnnTensorStruct*, float const *, float const , float, float, float*, float const *, float const *, float const *, float, float, cudnn::reduced_divisor, int, float*, cudnn::detail::bnFwPersistentState*, int, float, float, float, int, float, float, cudnnStatus_t*, bool)",7,91362,61,144,14336,81.684,0,543985,0,27375238,151833000000,0,85791000000,40.17,55.327,540487,0,163637000000,163058000000,407358000000,592882,199620000000,52.016,94.115,19864852,0,193435984,63701,112738
"maxwell_scudnn_128x64_relu_interior_nn",1,96515,120,8192,0,82.013,0,751680,0,551632896,1696057000000,0,472431000000,43.96,57.286,728420,0,263384000000,70158000000,599149000000,243488,85546000000,55.6,167.118,280126080,0,39788928,336168,1206864
"void kernelPointwiseApply1<TensorDivConstantOp<float>, float, unsigned int, int=1>(OffsetInfo<TensorDivConstantOp<float>, float, unsigned int>, float, float)",3,106883,8,0,0,100,0,733248,0,5865984,0,0,0,100,50,733248,0,216707000000,216707000000,216707000000,733248,216707000000,50,0,5865984,0,76257792,0,0
"maxwell_scudnn_128x32_relu_interior_nn",1,111716,82,8192,0,82.128,0,1252800,0,549494784,1979331000000,0,476322000000,42.942,56.823,1248615,0,366559000000,23357000000,853624000000,96246,28440000000,56.279,176.382,276918912,0,53385984,402984,1674576
"void CatArrayBatchedCopy<float, unsigned int, int=4>(float*, CatArrInputTensor<float, unsigned int>*, OutputTensorSizeStride<unsigned int, unsigned int=4>, int, unsigned int)",2,134116,25,0,0,100,0,873798,0,0,0,0,0,98.25,51.067,816678,0,194086000000,193588000000,195980000000,806598,193588000000,50.553,0,322560,0,432053945,0,0
"void kernelPointwiseApply2<CopyOp<float, float>, float, float, unsigned int, int=-1, int=1>(OffsetInfo<float, float, float>, OffsetInfo<CopyOp<float, float>, float, unsigned int>, float, float)",63,142320,32,0,0,79.938,0,1702037,0,0,0,0,0,50,50,796567,82.632,75617000000,75617000000,151234000000,826700,93179000000,66.174,0,10696431,0,313737005,0,0
"void kernelPointwiseApply2<TensorMulOp<float>, float, float, unsigned int, int=1, int=1>(OffsetInfo<TensorMulOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, float, float)",3,161113,10,0,0,100,0,1466496,0,5865984,0,0,0,100,50,1466496,0,289859000000,144929000000,289859000000,733248,144929000000,50,0,5865984,0,105587712,0,0
"void caffe_gpu_interp2_kernel<float, float>(int, float, float, bool, THCDeviceTensor<float, int=4, int, DefaultPtrTraits>, THCDeviceTensor<float, int=4, int, DefaultPtrTraits>)",3,170042,40,0,0,81.939,0,3180936,0,57796344,0,0,0,39.41,66.441,1624242,0,166986000000,156258000000,319041000000,968428,190364000000,60.47,0,38811795,0,198794337,0,0
"void cudnn::detail::bn_fw_tr_1C11_singleread<float, int=512, bool=1, int=1, int=2, int=20>(cudnnTensorStruct, float const *, cudnn::detail::bn_fw_tr_1C11_singleread<float, int=512, bool=1, int=1, int=2, int=20>, cudnnTensorStruct*, float const *, float const , float, float, float*, float const *, float const *, float const *, float, float, cudnn::reduced_divisor, int, float*, cudnn::detail::bnFwPersistentState*, int, float, float, float, int, float, float, cudnnStatus_t*, bool)",16,205733,64,144,29696,81.951,0,1108153,0,54141357,148410000000,0,79097000000,41.089,53.789,1172613,0,163311000000,162929000000,397303000000,1268876,198773000000,51.278,97.313,37534423,0,386017086,126253,236892
"void spatialDepthwiseConvolutionUpdateOutput<float, float, unsigned int, int=3>(THCDeviceTensor<float, int=4, int, DefaultPtrTraits>, THCDeviceTensor<float, int=4, int, DefaultPtrTraits>, THCDeviceTensor<float, int=4, int, DefaultPtrTraits>, THCDeviceTensor<float, int=1, int, DefaultPtrTraits>, bool, unsigned int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)",63,256858,28,0,0,100,0,5174905,0,41399241,0,0,0,66.141,55.039,4070613,0,329117000000,35439000000,501806000000,287494,35439000000,54.73,0,27599494,0,434900161,0,0
"maxwell_scudnn_128x128_relu_interior_nn",70,288250,124,32768,0,80.55,0,2863303,0,2969042007,2609146000000,0,391081000000,44.613,53.741,2867821,0,305834000000,34375000000,678605000000,384346,42078000000,53.203,183.176,1489917125,0,94148944,893492,5961002
"generate_bernoulli(curandStateMtgp32*, int, float*, double)",3,332649,28,0,0,87.382,0,13198464,0,11731968,0,0,0,62.524,64.292,6154573,0,396404000000,151353000000,633962000000,1681694,173225000000,61.892,0,5865984,5865984,342372100,0,0
"maxwell_scudnn_128x64_relu_small_nn",1,501326,124,8192,0,82.039,0,7255744,0,4891230208,2546307000000,0,587448000000,44.314,62.466,6106872,0,455982000000,66834000000,1028975000000,1288150,81466000000,60.719,175.784,2462672000,0,318395392,2322184,10065552
"void adaptiveaveragepool<float>(float*, float*, int, int, int, int, long, long, long)",1,522990,30,0,0,12.5,0,4460544,0,6610944,0,0,0,12.5,0,4460544,0,35835000000,32000000,286685000000,4096,263000000,0,0,6705152,0,23195648,0,0
"maxwell_scudnn_winograd_128x128_ldg1_ldg4_tile148n_nt",2,2274656,128,49152,0,55.128,0,82306560,0,23433117696,2483112000000,0,1298304000000,46.247,64.345,62340869,0,1087046000000,14287000000,2350538000000,1931907,25916000000,63.813,163.415,12023635968,0,442303488,24147072,46179072
"void cudnn::detail::implicit_convolve_sgemm<float, float, int=128, int=6, int=7, int=3, int=3, int=5, int=1, bool=1, bool=0, bool=0>(int, int, int, float const *, int, float*, cudnn::detail::implicit_convolve_sgemm<float, float, int=128, int=6, int=7, int=3, int=3, int=5, int=1, bool=1, bool=0, bool=0>*, kernel_conv_params, int, float, float, int, float, float, int, int)",3,4060818,63,6400,0,19.982,0,48743765,0,21139849728,3117051000000,0,233778000000,38.927,60.033,26639751,0,45323000000,525000000,116111000000,348800,2632000000,52.596,118.605,10570761216,0,4133670528,7741440,103219200
