Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Memory Store Efficiency(%),Unified Cache Transactions,HP Instructions(Half),Floating Point Operations(Double Precision),Floating Point Operations(Single Precision),Floating Point Operations(Half Precision),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Throughput(bytes/sec),Global Memory Load Efficiency(%),Global Hit Rate in unified l1/tex(%),L2 Transactions (Texture Reads),Local Hit Rate(%),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),L2 Transactions (Texture Writes),Global Load Throughput(bytes/sec),Global Store Throughput(bytes/sec),Unified Cache Hit Rate(%),Device Memory Write Transactions,Device Memory Read Transactions,Shared Memory Efficiency(%),FP Instructions(Single),FP Instructions(Double),Integer Instructions,Shared Store Transactions,Shared Load Transactions
"void kernelTransformReduceInnermostDimIndex<float, long, MaxValuePair<float, long>>(float*, long*, float*, unsigned int, unsigned int, thrust::pair<float, long>, float)",1,8708,18,6528,0,37.5,10000,0,0,0,0,1763895000000,1176400000000,50,50,5000,0,9186000000,13780000000,10000,18373000000,36747000000,50,2836,2595,29.07,340000,0,4185376,80032,120000
"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_",511,11317,8,0,0,100,78705,0,0,629640,0,0,0,100,50,78705,0,222535000000,111267000000,39352,222535000000,111267000000,50,26462,78810,0,314820,0,6296689,0,0
"void gemmk1_kernel<float, int=256, int=5, bool=0, bool=0, bool=0, bool=0>(cublasGemmk1Params<float>, float const *, float const *, float*)",24,11452,15,272,0,100,43871,0,0,972672,0,448294000000,14015000000,92.103,51.199,42799,0,122581000000,112073000000,40110,133090000000,112073000000,50.627,39089,42709,50.757,732048,0,4112289,1254,40110
"sgemm_32x32x32_NT",1,15259,153,16912,0,25,20626,0,0,26081664,0,1344306000000,882200000000,25,63.347,7560,0,10813000000,5242000000,10000,43255000000,20971000000,42.663,2116,5287,130.189,15504768,0,5969536,105168,160256
"_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_17gpu_binary_kernelIZNS0_15mul_kernel_implIfEEvRNS_14TensorIteratorEEUlffE_EEvS5_RKT_EUliE0_EEviT1_",543,19179,15,0,0,100,200438,0,0,801752,0,0,0,85,58.333,125273,0,177659000000,167209000000,100219,209011000000,167209000000,55,80454,106735,0,801752,0,39286096,0,0
"sgemm_32x32x32_NT_vec",590,22528,153,16912,0,98.475,99263,0,0,52111353,0,1932964000000,1193889000000,71.525,39.749,83016,0,140564000000,55816000000,39600,196669000000,56249000000,43.155,28965,79622,130.018,30978638,0,10486309,210126,340204
"void THCudaTensor_scatterAddKernel<unsigned int, float, int=2>(TensorInfo<float, unsigned int>, TensorInfo<float, unsigned int>, TensorInfo<long, unsigned int>, int, unsigned int)",463,28723,32,0,0,0,327991,0,0,0,0,0,0,90.389,57.037,137148,0,137607000000,0,0,152794000000,0,74.82,38358,159966,0,1749289,0,91133892,0,0
"void cudnn::detail::bn_pointwise<float, float, bool=1, int=2>(float, cudnn::detail::bn_pointwise<float, float, bool=1, int=2>, cudnnTensorStruct, float const *, float, cudnnTensorStruct*, float, cudnn::detail::bn_pointwise<float, float, bool=1, int=2> const *, cudnn::detail::bn_pointwise<float, float, bool=1, int=2> const , double, cudnn::detail::bn_pointwise<float, float, bool=1, int=2>*, cudnn::detail::bn_pointwise<float, float, bool=1, int=2> const *, bool)",102,29019,26,0,0,98.529,158736,0,0,1890742,0,0,0,98.529,49.02,158736,49.02,130310000000,43436000000,79368,131281000000,43760000000,49.02,41422,39748,0,1418056,0,31526269,0,0
"void indexSelectLargeIndex<float, unsigned int, int=2, int=2, int=-2, bool=1>(TensorInfo<float, unsigned int>, TensorInfo<float, unsigned int>, TensorInfo<long, unsigned int>, int, int, unsigned int, unsigned int, long)",495,32003,32,0,0,100,216159,0,0,0,0,0,0,79.914,68.598,100158,0,79884000000,108068000000,108079,100147000000,108068000000,61.159,87478,51876,0,2593915,0,93673364,0,0
"void cudnn::detail::bn_fw_tr_1CHW_kernel_new<float, float, bool=1, int=4>(float, cudnn::detail::bn_fw_tr_1CHW_kernel_new<float, float, bool=1, int=4>, cudnnTensorStruct, float const *, float, cudnnTensorStruct*, float, cudnn::detail::bn_fw_tr_1CHW_kernel_new<float, float, bool=1, int=4> const *, cudnn::detail::bn_fw_tr_1CHW_kernel_new<float, float, bool=1, int=4> const , double, cudnn::detail::bn_fw_tr_1CHW_kernel_new<float, float, bool=1, int=4>*, cudnn::detail::bn_fw_tr_1CHW_kernel_new<float, float, bool=1, int=4> const *, double, cudnn::detail::bn_fw_tr_1CHW_kernel_new<float, float, bool=1, int=4> const *, cudnn::detai",102,719353,56,0,0,98.529,79372,0,0,1261532,0,0,0,98.529,49.02,79372,0.479,3504000000,0,11,3530000000,0,49.015,51507,55322,0,946094,0,1342290,0,0
"void kernelTransformReduceInnermostDimIndex<long, long, MinValuePair<long, long>>(long*, long*, long*, unsigned int, unsigned int, thrust::pair<long, long>, long)",6,836202,16,8704,0,50,25163,0,0,0,0,3000000,11000000,96.296,8.333,27052,0,962000000,0,2,1034000000,0,8.343,4321,25253,68.636,0,0,1016468,80,30
"void kernelTransformReduceInnermostDimIndex<long, long, MaxValuePair<long, long>>(long*, long*, long*, unsigned int, unsigned int, thrust::pair<long, long>, long)",6,836694,16,8704,0,50,25163,0,0,0,0,3000000,11000000,96.296,8.333,27052,0,961000000,0,2,1034000000,0,8.343,8780,25249,68.636,0,0,1016468,80,30
