Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Memory Store Efficiency(%),HP Instructions(Half),Unified Cache Transactions,Floating Point Operations(Double Precision),Floating Point Operations(Single Precision),Global Hit Rate in unified l1/tex(%),Local Hit Rate(%),L2 Transactions (Texture Reads),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),Global Load Throughput(bytes/sec),L2 Transactions (Texture Writes),Global Store Throughput(bytes/sec),Unified Cache Hit Rate(%),Shared Memory Efficiency(%),FP Instructions(Single),FP Instructions(Double),Integer Instructions,Shared Store Transactions,Shared Load Transactions,Floating Point Operations(Half Precision),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Throughput(bytes/sec),Global Memory Load Efficiency(%),Device Memory Write Transactions,Device Memory Read Transactions
"void spatialDepthwiseConvolutionUpdateGradInput<float, float, unsigned int, int=3, int=1>(THCDeviceTensor<float, int=4, int, DefaultPtrTraits>, THCDeviceTensor<float, int=4, int, DefaultPtrTraits>, THCDeviceTensor<float, int=4, int, DefaultPtrTraits>, unsigned int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)",60,347004,38,0,0,100,0,5412007,0,41066539,56.771,0,3834540,276535000000,32727000000,399803000000,313909,32727000000,56.317,0,28067107,0,535275363,0,0,0,0,0,68.826,308928,286882
"void atomicadaptiveaveragegradinput<float>(float*, float*, int, int, int, int)",1,356074,28,0,0,0,0,4096,0,2150400,0,0,4096,45000000,0,361000000,0,0,99.908,0,2244608,0,26558464,0,0,0,0,0,12.5,560756,560418
"maxwell_scudnn_128x64_stridedB_splitK_interior_nn",1,439820,120,10240,0,0,0,752328,0,550576128,35.388,0,3114691,54394000000,0,355040000000,0,0,38.28,174.059,275832960,0,33436800,269868,1156356,0,339548000000,79243000000,15.321,42446,1147390
"void at::native::_GLOBAL__N__54_tmpxft_0006859b_00000000_12_SoftMax_compute_70_cpp1_ii_826a4626::cunn_SpatialSoftMaxBackward<float, float, at::native::_GLOBAL__N__54_tmpxft_0006859b_00000000_12_SoftMax_compute_70_cpp1_ii_826a4626::LogSoftMaxBackwardEpilogue>(float*, float, float, unsigned int, unsigned int, unsigned int)",1,465421,32,0,0,82.351,0,4145022,0,121584078,48.743,0,5033214,283308000000,94436000000,344024000000,1677738,114674000000,48.743,0,165796470,0,185158326,0,0,0,0,0,82.351,1572528,4387700
"maxwell_scudnn_128x32_stridedB_splitK_interior_nn",1,596048,84,10240,0,0,0,1286646,0,550576128,38.263,0,5587876,68071000000,0,489756000000,0,0,39.545,174.649,275849472,0,58881792,406608,1726536,0,373905000000,88056000000,13.899,44150,1575701
"maxwell_scudnn_128x128_stridedB_splitK_interior_nn",70,723519,124,34816,0,17.135,0,3985484,0,3238916447,50.033,0,8567971,172890000000,31433000000,776647000000,672594,31447000000,59.698,162.911,1629853608,0,240994992,2072756,7308345,0,1407197000000,399882000000,20.827,2006543,1646289
"maxwell_scudnn_128x64_stridedB_splitK_large_nn",1,915834,128,10240,0,0,0,8098584,0,6524461056,48.464,0,15610734,299416000000,0,1138559000000,0,0,50.544,177.852,3265487232,0,503703552,2797188,13424652,0,2017770000000,420426000000,26.298,51056,1662589
"void spatialDepthwiseConvolutionUpdateGradInput<float, float, unsigned int, int=3, int=2>(THCDeviceTensor<float, int=4, int, DefaultPtrTraits>, THCDeviceTensor<float, int=4, int, DefaultPtrTraits>, THCDeviceTensor<float, int=4, int, DefaultPtrTraits>, unsigned int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)",3,1465992,36,0,0,100,0,12870960,0,48053280,60.664,0,6421980,80023000000,33531000000,159072000000,1353964,33531000000,59.167,0,56521792,0,2542080207,0,0,0,0,0,49.476,1347081,334587
"maxwell_scudnn_winograd_128x128_ldg1_ldg4_tile148n_nt",3,1914496,128,49152,0,55.376,0,59401728,0,16904073216,66.698,0,44559061,987502000000,16161000000,2137460000000,1723917,29242000000,65.325,160.455,8681317376,0,342231168,17804304,33699168,0,2280388000000,1204948000000,45.947,2415904,10069087
"void caffe_gpu_interp2_kernel_backward<float, float>(int, float, float, bool, THCDeviceTensor<float, int=4, int, DefaultPtrTraits>, THCDeviceTensor<float, int=4, int, DefaultPtrTraits>)",3,1947553,56,0,0,0,0,839096,0,27777474,48.65,0,1020515,13689000000,0,16655000000,0,0,94.369,0,27871107,0,111642900,0,0,0,0,0,82.003,88921,905741
"void cudnn::detail::dgrad_engine<float, int=128, int=6, int=7, int=3, int=3, int=5, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::dgrad_engine<float, int=128, int=6, int=7, int=3, int=3, int=5, bool=1>*, kernel_grad_params, int, int, float, int, int, int)",6,1988386,63,6400,0,0,0,39616000,0,13534983445,0,0,15870850,0,0,0,0,0,72.414,118.605,6773852778,0,1067243136,4952000,66026666,0,4587397000000,344054000000,0,998538,6834518
"void cudnn::detail::wgrad_alg1_engine<float, int=128, int=6, int=8, int=3, int=3, int=5, bool=1, bool=0>(int, int, int, float const *, int, float*, float const , kernel_grad_params, int, float, float, int, int, int*, kernel_grad_params, int, int)",3,3200760,107,10496,0,25,0,45132288,0,20615528448,56.149,0,42747636,32478000000,6543000000,246530000000,2359296,26174000000,43.491,130.189,10334914560,0,2868710400,6289920,60383232,0,2679659000000,279130000000,13.049,1066750,919935
"maxwell_scudnn_128x128_stridedB_splitK_large_nn",2,4417066,128,34816,0,99.957,0,55857205,0,44891504640,62.256,0,67578007,389824000000,75151000000,1205479000000,10407720,75184000000,60.978,178.869,22489344000,0,2680418400,16305600,92508480,0,2672967000000,471138000000,32.336,8653059,10275578
