Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Memory Store Efficiency(%),HP Instructions(Half),Unified Cache Transactions,Floating Point Operations(Double Precision),Floating Point Operations(Single Precision),Shared Memory Load Throughput(bytes/sec),Floating Point Operations(Half Precision),Shared Memory Store Throughput(bytes/sec),Global Memory Load Efficiency(%),Global Hit Rate in unified l1/tex(%),Local Hit Rate(%),L2 Transactions (Texture Reads),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),L2 Transactions (Texture Writes),Global Load Throughput(bytes/sec),Global Store Throughput(bytes/sec),Unified Cache Hit Rate(%),Device Memory Write Transactions,Device Memory Read Transactions,Shared Memory Efficiency(%),FP Instructions(Single),FP Instructions(Double),Integer Instructions,Shared Store Transactions,Shared Load Transactions
"void kernelPointwiseApply2<TensorPowOp<float, int=-3>, float, float, unsigned int, int=1, int=1>(OffsetInfo<int=-3, float, float>, OffsetInfo<TensorPowOp<float, int=-3>, float, unsigned int>, float, float)",328,3161,16,0,0,62.456,0,30,0,14641,0,0,0,62.456,26.68,0,30,303000000,303000000,30,309000000,309000000,26.68,87,120,0,16805,0,8277,0,0
"void kernelTransformReduceInnermostDimIndex<float, long, MaxValuePair<float, long>>(float*, long*, float*, unsigned int, unsigned int, thrust::pair<float, long>, float)",2,3510,18,6528,0,37.5,0,1000,0,0,437543000000,0,293445000000,50,40,0,750,3417000000,3417000000,1000,6836000000,9115000000,46.154,537,476,29.172,36000,0,432064,8048,12000
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__copy_if::CopyIfAgent<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<unsigned char>, thrust::permutation_iterator<thrust::device_ptr<long>, thrust::transform_iterator<strided_range<thrust::device_ptr<long>>::stride_functor, thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::use_default, thrust::use_default>>, NonZeroOp<unsigned char>, int, int*>, thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<unsigned char>, thrust::permutation_iterator<thrust::device_ptr<long>, thrust::transform_iterator<strided_range<thrust::device_ptr<long>>::stride_functor, thrust::counting_iterator<long, thrust::use_def",332,3868,72,0,4112,13.91,0,72,0,0,5745000000,0,7084000000,15.314,37.614,0,30,181000000,29000000,5,631000000,49000000,32.278,15,155,48.255,0,0,21673,214,173
"void indexSelectSmallIndex<float, unsigned int, int=2, int=2, int=-2>(TensorInfo<float, unsigned int>, TensorInfo<float, unsigned int>, TensorInfo<long, unsigned int>, int, int, unsigned int, long)",188,5101,32,0,0,96.227,0,266,0,0,0,0,0,73.178,52.303,0,181,848000000,821000000,145,1135000000,910000000,50.549,202,212,0,2096,0,95165,0,0
"void gemv2T_kernel_val<float, float, float, int=128, int=16, int=2, int=4, bool=0>(int, int, float, float const *, int, float const *, int, float, float*, int)",56,5565,31,1536,0,21.875,0,701,0,8997,5473000000,0,862000000,52.553,48.618,0,573,3263000000,6000000,5,6186000000,28000000,47.662,443,668,49.85,4973,0,21668,37,238
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__parallel_for::ParallelForAgent<thrust::cuda_cub::__transform::unary_transform_f<thrust::permutation_iterator<thrust::device_ptr<long>, thrust::transform_iterator<strided_range<thrust::device_ptr<long>>::stride_functor, thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::use_default, thrust::use_default>>, thrust::permutation_iterator<thrust::device_ptr<long>, thrust::transform_iterator<strided_range<thrust::device_ptr<long>>::stride_functor, thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::use_default, thrust::use_default>>, thrust::cuda_cub::__transform::no_stencil_tag, idx_functor, thrust::cuda_cub::__transform::always_true_predicate>, long>, thrust::cuda_cub::__transform::unary_transform_f<thru",660,6271,32,0,0,43.97,0,91,0,0,0,0,0,44.388,0,0,149,456000000,456000000,152,763000000,780000000,0,155,367,0,716,0,100674,0,0
"void gemmSN_TN_kernel<float, float, float, int=128, int=16, int=2, int=4, int=2, int=2, bool=1>(int, int, int, float const *, int, float const *, int, float*, int, float const *, float const *, float, float, int, int)",40,6483,32,3072,0,21.875,0,776,0,17995,9397000000,0,1282000000,47.316,47.761,0,648,3120000000,11000000,10,6268000000,48000000,46.563,311,731,51.473,9937,0,59201,65,476
"_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_17gpu_binary_kernelIZNS0_15div_kernel_implIfEEvRNS_14TensorIteratorEEUlffE_EEvS5_RKT_EUliE0_EEviT1_",272,6988,15,0,0,99.98,0,18689,0,315771,0,0,0,83.35,58.104,0,11681,44238000000,42787000000,9344,53486000000,42788000000,54.859,8264,9590,0,532738,0,4200423,0,0
"_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_16gpu_index_kernelIZNS0_17index_kernel_implINS0_10OpaqueTypeILi8EEEEEvRNS_14TensorIteratorEN3c108ArrayRefIlEESA_EUlPcSB_lE_EEvS7_SA_SA_RKT_EUliE_EEviT1_",2,7302,38,0,0,50,0,504,0,0,0,0,0,61.425,34.88,0,814,2190000000,1094000000,500,3566000000,2190000000,24.914,595,735,0,0,0,63048,0,0
"_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_16gpu_index_kernelIZNS0_17index_kernel_implINS0_10OpaqueTypeILi4EEEEEvRNS_14TensorIteratorEN3c108ArrayRefIlEESA_EUlPcSB_lE_EEvS7_SA_SA_RKT_EUliE_EEviT1_",2,7935,40,0,0,100,0,1128,0,0,0,0,0,82.01,50.032,0,781,2581000000,1511000000,375,3148000000,1511000000,50.022,491,913,0,0,0,249144,0,0
"_ZN2at6native13reduce_kernelILi512ENS0_8ReduceOpIlZNS0_15sum_kernel_implIllEEvRNS_14TensorIteratorEEUlllE_EEEEvT0_",2,8150,32,0,0,25,0,296,0,0,0,0,0,100,0,50,282,981000000,0,33,981000000,3000000,16.887,123,453,0,0,0,39370,0,0
"_ZN2at6native13reduce_kernelILi512ENS0_8ReduceOpIfZNS0_15sum_kernel_implIffEEvRNS_14TensorIteratorEEUlffE_EEEEvT0_",656,8439,27,0,0,56.208,0,21497,0,191697,0,0,0,80.175,35.894,0,24077,81337000000,14757000000,3997,91287000000,15156000000,33.46,7515,21630,0,191697,0,4449058,0,0
"void gemmSN_TN_kernel<float, float, float, int=128, int=16, int=2, int=4, int=4, int=4, bool=1>(int, int, int, float const *, int, float const *, int, float*, int, float const *, float const *, float, float, int, int)",16,8479,32,6144,0,21.875,0,925,0,35990,14369000000,0,1961000000,46.396,46.978,0,793,2874000000,17000000,20,5788000000,75000000,45.642,391,845,51.473,19865,0,65025,130,952
"void gemmSN_TN_kernel<float, float, float, int=128, int=16, int=2, int=4, int=4, int=4, bool=0>(int, int, int, float const *, int, float const *, int, float*, int, float const *, float const *, float, float, int, int)",28,8781,32,6144,0,21.875,0,850,0,35463,13875000000,0,4641000000,46.767,47.423,0,717,2539000000,12000000,15,5108000000,54000000,46.13,987,816,46.018,19348,0,58983,318,952
"sgemm_32x32x32_NT_vec",188,10486,153,16912,0,65.043,0,21486,0,7852179,250758000000,0,136049000000,77.169,17.482,0,19637,63615000000,1514000000,679,81000000000,2072000000,16.087,3561,14829,144.687,4033617,0,431861,11146,20544
"void CatArrayBatchedCopy<float, unsigned int, int=3>(float*, CatArrInputTensor<float, unsigned int>*, OutputTensorSizeStride<unsigned int, unsigned int=4>, int, unsigned int)",328,11056,20,0,0,95.629,0,64530,0,0,0,0,0,63.117,63.556,0,46319,125334000000,123352000000,47645,134060000000,137895000000,59.884,40939,42704,0,56915,0,19608332,0,0
"void indexSelectLargeIndex<float, unsigned int, int=2, int=2, int=-2, bool=1>(TensorInfo<float, unsigned int>, TensorInfo<float, unsigned int>, TensorInfo<long, unsigned int>, int, int, unsigned int, unsigned int, long)",476,16621,32,0,0,99.999,0,107078,0,0,0,0,0,79.615,56.061,0,73605,106039000000,103074000000,53538,141707000000,103074000000,53.623,51531,35616,0,1284931,0,46380296,0,0
"void CatArrayBatchedCopy<float, unsigned int, int=2>(float*, CatArrInputTensor<float, unsigned int>*, OutputTensorSizeStride<unsigned int, unsigned int=4>, int, unsigned int)",4,48730,16,0,0,90.14,0,397663,0,0,0,0,0,30.239,72.195,0,109624,23063000000,15374000000,24322,71986000000,15971000000,70.012,20946,23570,0,118423,0,43076150,0,0
