Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Memory Store Efficiency(%),Unified Cache Transactions,HP Instructions(Half),Floating Point Operations(Double Precision),Floating Point Operations(Single Precision),Global Hit Rate in unified l1/tex(%),Local Hit Rate(%),L2 Transactions (Texture Reads),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),L2 Transactions (Texture Writes),Global Load Throughput(bytes/sec),Global Store Throughput(bytes/sec),Unified Cache Hit Rate(%),Shared Memory Efficiency(%),FP Instructions(Single),FP Instructions(Double),Integer Instructions,Shared Store Transactions,Shared Load Transactions,Floating Point Operations(Half Precision),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Throughput(bytes/sec),Global Memory Load Efficiency(%)
"void cunn_ClassNLLCriterion_updateGradInput_kernel<float>(float*, float*, long*, float*, float*, int, int, int, int, long)",10,3911,32,0,0,25,20,0,0,340,33.333,0,18,63000000,60000000,30,146000000,245000000,15.789,0,280,0,1280,0,0,0,0,0,43.75
"void at::native::_GLOBAL__N__54_tmpxft_0006859b_00000000_12_SoftMax_compute_70_cpp1_ii_826a4626::cunn_SoftMaxBackward<int=2, float, float, at::native::_GLOBAL__N__54_tmpxft_0006859b_00000000_12_SoftMax_compute_70_cpp1_ii_826a4626::LogSoftMaxBackwardEpilogue>(float*, float, float, int)",10,4322,23,0,128,30,180,0,0,3960,0,0,225,499000000,165000000,75,1665000000,554000000,0,14.732,8520,0,121320,180,1080,0,31982000000,5330000000,30
"void kernelReduceAll<long, unsigned int, long, thrust::identity<long>, ReduceMin<long>, int=1>(TensorInfo<long, unsigned int>, unsigned int, long, long, thrust::identity<long>, long*)",40,4337,17,0,8192,25,71,0,0,0,0,0,70,516000000,1000000,1,516000000,7000000,0,81.722,1024,0,30605,66,93,0,2744000000,1947000000,100
"void kernelReduceAll<long, unsigned int, long, thrust::identity<long>, ReduceMax<long>, int=1>(TensorInfo<long, unsigned int>, unsigned int, long, long, thrust::identity<long>, long*)",40,4338,17,0,8192,25,71,0,0,0,0,0,70,515000000,1000000,1,515000000,6000000,0,81.722,1024,0,30605,66,93,0,2743000000,1946000000,100
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__copy_if::CopyIfAgent<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<unsigned char>, thrust::permutation_iterator<thrust::device_ptr<long>, thrust::transform_iterator<strided_range<thrust::device_ptr<long>>::stride_functor, thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::use_default, thrust::use_default>>, NonZeroOp<unsigned char>, int, int*>, thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<unsigned char>, thrust::permutation_iterator<thrust::device_ptr<long>, thrust::transform_iterator<strided_range<thrust::device_ptr<long>>::stride_functor, thrust::counting_iterator<long, thrust::use_def",40,4609,72,0,4112,54.042,3121,0,0,0,63.689,0,1306,6655000000,619000000,148,21968000000,1026000000,60.84,63.455,0,0,441865,2322,3917,0,108763000000,64475000000,30.366
"void convert_CooToCsr_kernel<int=0>(int const *, int, int, int*)",60,4627,12,0,512,46.113,13656,0,0,0,48.674,0,16641,94413000000,17044000000,5345,115079000000,36962000000,50.424,99.451,61440,0,4257187,3414,6828,0,188874000000,94436000000,82.042
"void cunn_ClassNLLCriterion_updateOutput_kernel<float, float>(float*, float*, float*, long*, float*, int, int, int, int, long)",10,4695,32,256,0,12.5,17,0,0,259,13.043,0,40,102000000,3000000,5,272000000,33000000,11.765,27.381,195,0,1337,6,36,0,981000000,163000000,37.812
"void kernelPointwiseApply2<CopyOp<int, long>, int, long, unsigned int, int=1, int=1>(OffsetInfo<long, int, long>, OffsetInfo<CopyOp<int, long>, int, unsigned int>, int, int)",120,5013,8,0,0,99.997,13546,0,0,0,23.34,0,27991,86454000000,86454000000,13546,259369000000,86457000000,36.393,0,0,0,2168016,0,0,0,0,0,37.499
"void kernelPointwiseApply3<TensorMulOp<float>, float, float, float, unsigned int, int=1, int=1, int=2>(OffsetInfo<TensorMulOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",120,5601,11,0,0,99.999,46828,0,0,187311,56.666,0,30192,148268000000,133749000000,23414,172468000000,133750000000,54.062,0,187311,0,7306494,0,0,0,0,0,87.638
"void kernelPointwiseApply1<TensorDivConstantOp<long>, long, unsigned int, int=1>(OffsetInfo<TensorDivConstantOp<long>, long, unsigned int>, long, long)",120,5640,24,0,0,99.997,27092,0,0,0,0,0,27092,153686000000,153686000000,27092,153690000000,153690000000,0,0,108365,0,4229638,0,0,0,0,0,99.997
"void at::native::_GLOBAL__N__54_tmpxft_0006859b_00000000_12_SoftMax_compute_70_cpp1_ii_826a4626::cunn_SoftMaxForward<int=2, float, float, at::native::_GLOBAL__N__54_tmpxft_0006859b_00000000_12_SoftMax_compute_70_cpp1_ii_826a4626::LogSoftMaxForwardEpilogue>(float*, float, int)",10,5755,25,0,128,30,180,0,0,51960,0,0,225,374000000,124000000,75,1250000000,416000000,0,14.732,39660,0,93660,360,2160,0,48035000000,8005000000,30
"void kernelPointwiseApply2<CopyOp<float, float>, float, float, unsigned int, int=1, int=2>(OffsetInfo<float, float, float>, OffsetInfo<CopyOp<float, float>, float, unsigned int>, float, float)",120,6871,8,0,0,99.999,23414,0,0,0,40.851,0,108811,109029000000,109029000000,23414,803381000000,109030000000,42.976,0,0,0,6182625,0,0,0,0,0,18.75
"void kernelPointwiseApply2<TensorMaxValueOp<float>, float, float, unsigned int, int=1, int=1>(OffsetInfo<TensorMaxValueOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, float, float)",20,7174,8,0,0,100,39434,0,0,0,50,0,39434,175896000000,175896000000,39434,175896000000,175896000000,50,0,315472,0,6311168,0,0,0,0,0,100
"void kernelPointwiseApply1<TensorDivConstantOp<float>, float, unsigned int, int=1>(OffsetInfo<TensorDivConstantOp<float>, float, unsigned int>, float, float)",10,7204,8,0,0,100,39434,0,0,315472,50,0,39434,175154000000,175154000000,39434,175154000000,175154000000,50,0,315472,0,4418336,0,0,0,0,0,100
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__parallel_for::ParallelForAgent<thrust::cuda_cub::__transform::unary_transform_f<thrust::permutation_iterator<thrust::device_ptr<long>, thrust::transform_iterator<strided_range<thrust::device_ptr<long>>::stride_functor, thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::use_default, thrust::use_default>>, thrust::permutation_iterator<thrust::device_ptr<long>, thrust::transform_iterator<strided_range<thrust::device_ptr<long>>::stride_functor, thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::use_default, thrust::use_default>>, thrust::cuda_cub::__transform::no_stencil_tag, idx_functor, thrust::cuda_cub::__transform::always_true_predicate>, long>, thrust::cuda_cub::__transform::unary_transform_f<thru",40,7295,32,0,0,99.981,4932,0,0,0,0,0,4930,21620000000,21620000000,4930,21623000000,21624000000,0,0,39434,0,6563859,0,0,0,0,0,99.985
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__merge_sort::PartitionAgent<thrust::device_ptr<long>, long, ThrustLTOp<long>>, bool, thrust::device_ptr<long>, long*, long, unsigned long, long*, ThrustLTOp<long>, long, int>(thrust::device_ptr<long>, long, long, ThrustLTOp<long>, thrust::cuda_cub::__merge_sort::PartitionAgent<thrust::device_ptr<long>, long, ThrustLTOp<long>>, bool, thrust::device_ptr<long>, long*, long)",360,7405,23,0,0,96.429,379,0,0,0,0.87,0,1040,1142000000,57000000,14,4495000000,59000000,0.86,0,0,0,15240,0,0,0,0,0,25.416
"void kernelPointwiseApply2<TensorCAddOp<long>, long, long, unsigned int, int=1, int=1>(OffsetInfo<TensorCAddOp<long>, long, unsigned int>, OffsetInfo<long, long, int=1>, long, long)",180,7610,20,0,0,96.295,54184,0,0,0,9.722,0,55312,227820000000,113910000000,28220,232570000000,118657000000,11.667,0,0,0,4010254,0,0,0,0,0,98.038
"void kernelPointwiseApply2<TensorAddOp<long>, long, long, unsigned int, int=1, int=1>(OffsetInfo<TensorAddOp<long>, long, unsigned int>, OffsetInfo<long, long, int=1>, long, long)",60,7757,11,0,0,100,54184,0,0,0,0,0,54184,223512000000,111756000000,27092,223512000000,111756000000,0,0,0,0,2384800,0,0,0,0,0,100
"void kernelReduceNoncontigDim_shared<float, unsigned int, float, thrust::identity<float>, ReduceAdd<float>, thrust::identity<float>, int=1, int=1>(TensorInfo<float, unsigned int>, TensorInfo<float, unsigned int>, unsigned int, unsigned int, unsigned int, float, float, thrust::identity<float>, float, float volatile *, int*)",20,8288,23,2064,0,64.962,29810,0,0,225468,25.149,0,32212,90924000000,361000000,128,124360000000,495000000,25.328,97.882,225468,0,3581003,2516,3675,0,56751000000,38853000000,65.082
"void kernelPointwiseApply3<TensorMulOp<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<TensorMulOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",10,9836,11,0,0,100,78868,0,0,315472,50,0,78868,256577000000,128288000000,39434,256577000000,128288000000,50,0,315472,0,8204000,0,0,0,0,0,100
"void kernelPointwiseApply2<TensorMulOp<float>, float, float, unsigned int, int=1, int=1>(OffsetInfo<TensorMulOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, float, float)",10,9845,10,0,0,100,78868,0,0,315472,50,0,78868,256337000000,128168000000,39434,256337000000,128168000000,50,0,315472,0,6311168,0,0,0,0,0,100
"void kernelPointwiseApply3<TensorAddOp<float>, float, float, float, unsigned int, int=1, int=1, int=2>(OffsetInfo<TensorAddOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",40,10077,11,0,0,99.999,46828,0,0,187311,60.415,0,34197,106755000000,74348000000,23414,108590000000,74348000000,56.666,0,187311,0,7306494,0,0,0,0,0,93.748
"void kernelPointwiseApply3<ThresholdUpdateGradInput<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<ThresholdUpdateGradInput<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",10,10226,10,0,0,100,78868,0,0,0,49.998,0,78868,193758000000,123395000000,39434,246792000000,123395000000,49.999,0,315472,0,7390494,0,0,0,0,0,78.511
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__merge_sort::MergeAgent<thrust::device_ptr<long>, thrust::device_ptr<long>, long, ThrustLTOp<long>, thrust::detail::integral_constant<bool, bool=1>>, bool, thrust::device_ptr<long>, thrust::device_ptr<long>, long, long*, long*, ThrustLTOp<long>, long*, long>(thrust::device_ptr<long>, thrust::device_ptr<long>, long, long, ThrustLTOp<long>, bool, bool=1, thrust::detail::integral_constant<bool, bool=1>, thrust::cuda_cub::__merge_sort::MergeAgent<thrust::device_ptr<long>, thrust::device_ptr<long>, long, ThrustLTOp<long>, thrust::detail::integral_constant<bool, bool=1>>)",360,14523,72,0,16912,100,60968,0,0,0,26.451,0,57942,119848000000,119381000000,54184,127661000000,119381000000,16.129,43.699,0,0,5347587,40706,108487,0,956114000000,358745000000,93.951
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__unique_by_key::UniqueByKeyAgent<thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::equal_to<long>, int, int*>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::equal_to<long>, int*, int, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, unsigned long>(thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, long, thrust::equal_to<long>, int, int*, thrust::cuda_cub::__unique_by_key::UniqueByKeyAgent<thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust",60,14979,64,0,2576,90.157,70759,0,0,0,12.662,0,67026,127784000000,116106000000,60286,147988000000,128783000000,27.142,97.789,0,0,4170046,30538,31186,0,266479000000,260942000000,86.355
"sgemm_32x32x32_NT",10,20203,153,16912,0,100,44385,0,0,51413376,84.812,0,8984,17574000000,62459000000,39434,93733000000,62459000000,64.927,130.189,30563712,0,11767424,207312,315904,0,2001450000000,1313451000000,18.75
"sgemm_32x32x32_NN",20,20649,153,16912,0,30,54244,0,0,51413376,77.577,0,39796,66845000000,11457000000,24646,275034000000,38192000000,68.117,130.189,30563712,0,11530496,207312,315904,0,1958183000000,1285057000000,24.305
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__merge_sort::BlockSortAgent<thrust::device_ptr<long>, thrust::device_ptr<float>, long, ThrustLTOp<long>, thrust::detail::integral_constant<bool, bool=1>, thrust::detail::integral_constant<bool, bool=0>>, bool, thrust::device_ptr<long>, thrust::device_ptr<float>, long, long*, float*, ThrustLTOp<long>>(thrust::device_ptr<long>, float, thrust::device_ptr<float>, long, long, ThrustLTOp<long>, bool)",10,22177,82,0,16912,99.265,165,0,0,0,45.455,0,84,101000000,96000000,68,120000000,97000000,37.705,34.416,0,0,298101,5636,6106,0,35240000000,32527000000,83.929
"generate_bernoulli(curandStateMtgp32*, int, float*, double)",10,24966,28,0,0,87.36,711441,0,0,630944,64.209,0,332397,265599000000,101310000000,90481,426031000000,115968000000,61.823,0,315472,315472,21509282,0,0,0,0,0,62.343
"void csrMmt_hyb_core<float, int=3, int=5>(float, float, float const *, float const *, float const *, int const *, int const *, float const *, float*, int, int, int, int, int, int, bool)",30,28185,32,3496,0,85.696,209253,0,0,1921789,50.357,0,154499,79747000000,8394000000,8628,316065000000,9795000000,50.345,46.422,1054869,0,13402438,31066,161851,0,735024000000,141081000000,25.231
"void csrMmt_hyb_core<float, int=4, int=4>(float, float, float const *, float const *, float const *, int const *, int const *, float const *, float*, int, int, int, int, int, int, bool)",30,31663,32,3464,0,55.192,249321,0,0,4415376,50.631,0,249398,249001000000,39852000000,71449,476418000000,72207000000,46.428,66.087,2681536,0,26545089,29133,235882,0,953546000000,117768000000,52.265
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__merge_sort::BlockSortAgent<thrust::device_ptr<long>, thrust::device_ptr<long>, long, ThrustLTOp<long>, thrust::detail::integral_constant<bool, bool=1>, thrust::detail::integral_constant<bool, bool=0>>, bool, thrust::device_ptr<long>, thrust::device_ptr<long>, long, long*, long*, ThrustLTOp<long>>(thrust::device_ptr<long>, thrust::device_ptr<long>, long, long, ThrustLTOp<long>, bool, bool=1)",60,46885,92,0,16912,100,57640,0,0,0,2.318,0,54616,37054000000,36980000000,54184,37275000000,36980000000,1.177,25.305,0,0,19199010,474988,915660,0,2499799000000,1296741000000,99.407
"void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*)",10,55698,39,4228,0,21.121,160031,0,0,40464384,72.419,0,56397,27056000000,69000000,580,117381000000,332000000,72.224,130.755,20252672,0,3808482,39476,473632,0,1088450000000,90719000000,23.051
"void at::native::apply::coalesceValuesKernel<float, float>(long*, at::native::apply::coalesceValuesKernel<float, float>, float*, float, long, long, long)",60,93010,32,0,0,12.5,1408756,0,0,108368,69.231,0,433465,18641000000,4659000000,108365,149132000000,37282000000,64.286,0,108368,0,239272896,0,0,0,0,0,12.5
"sgemm_32x32x32_NN_vec",20,131005,153,16912,0,100,1878952,0,0,657949056,21.971,0,1688625,451720000000,9631000000,39434,528782000000,9631000000,23.009,157.926,333831552,0,30010880,799632,1520288,0,1485406000000,781285000000,85.427
"sgemm_32x32x32_TN_vec",10,198205,153,16912,0,100,1892928,0,0,647256064,7.24,0,2020985,300819000000,160000000,1000,351749000000,160000000,7.279,166.412,323753984,0,22966272,636160,1270242,0,820314000000,410827000000,85.521
"void kernelTransformReduceInnermostDimIndex<long, long, MaxValuePair<long, long>>(long*, long*, long*, unsigned int, unsigned int, thrust::pair<long, long>, long)",60,1894751,16,8704,0,50,54184,0,0,0,25,0,60956,914000000,0,2,1028000000,0,25.002,68.636,0,0,2177288,80,30,0,1000000,4000000,88.888
