Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Memory Store Efficiency(%),HP Instructions(Half),Unified Cache Transactions,Floating Point Operations(Double Precision),Floating Point Operations(Single Precision),Global Hit Rate in unified l1/tex(%),Local Hit Rate(%),L2 Transactions (Texture Reads),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),Global Load Throughput(bytes/sec),L2 Transactions (Texture Writes),Global Store Throughput(bytes/sec),Unified Cache Hit Rate(%),Shared Memory Efficiency(%),FP Instructions(Single),FP Instructions(Double),Integer Instructions,Shared Store Transactions,Shared Load Transactions,Floating Point Operations(Half Precision),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Throughput(bytes/sec),Global Memory Load Efficiency(%),Device Memory Write Transactions,Device Memory Read Transactions,L2 Cache Hit Rate(%),Total number of global load requests from Multiprocessor,Total number of local load requests from Multiprocessor,Total number of local store requests from Multiprocessor
"void kernelPointwiseApply3<TensorAddOp<long>, long, long, long, unsigned int, int=1, int=1, int=1>(OffsetInfo<TensorAddOp<long>, long, unsigned int>, OffsetInfo<long, long, int=1>, OffsetInfo<long, long, int=1>, long, long)",180,1494,10,0,0,100,0,6632,0,0,0,0,9948,51394000000,25696000000,77091000000,3316,25696000000,0,0,0,0,371584,0,0,0,0,0,66.667,1054,10328,0,3316,0,0
"void kernelPointwiseApply3<LeakyReLUUpdateGradInput<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<LeakyReLUUpdateGradInput<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",90,1497,10,0,0,100,0,3316,0,7069,0,0,3316,36730000000,18365000000,36730000000,1658,18365000000,50,0,20333,0,345056,0,0,0,0,0,100,221,3547,0,3316,0,0
"void kernelPointwiseApply2<TensorRemainderOp<long>, long, long, unsigned int, int=1, int=1>(OffsetInfo<TensorRemainderOp<long>, long, unsigned int>, OffsetInfo<long, long, int=1>, long, long)",180,1513,23,0,0,100,0,3316,0,0,0,0,3316,34322000000,34322000000,34322000000,3316,34322000000,0,0,13264,0,689920,0,0,0,0,0,100,499,3678,0,1658,0,0
"void kernelPointwiseApply3<TensorMulOp<float>, float, float, float, unsigned int, int=1, int=2, int=2>(OffsetInfo<TensorMulOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=2>, float, float)",90,1559,11,0,0,99.998,0,5340,0,21363,0,0,1391,8385000000,32389000000,16889000000,2670,32390000000,62.22,0,21363,0,1112355,0,0,0,0,0,49.718,166,684,25.916,5340,0,0
"void kernelPointwiseApply3<ELUupdateGradInput_functor<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<ELUupdateGradInput_functor<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",10,1577,11,0,0,99.979,0,4740,0,37912,0,0,4740,48543000000,24271000000,48553000000,2370,24276000000,49.989,0,56868,0,494856,0,0,0,0,0,99.979,273,4836,0,4740,0,0
"void kernelPointwiseApply3<TensorAddOp<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<TensorAddOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",270,1645,11,0,0,99.998,0,4665,0,18663,0,0,4665,47347000000,23673000000,47348000000,2332,23673000000,49.999,0,18663,0,486295,0,0,0,0,0,99.998,287,4927,0,4665,0,0
"void kernelPointwiseApply3<TensorMulOp<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<TensorMulOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",280,1793,11,0,0,99.999,0,5395,0,21583,0,0,5395,54300000000,27149000000,54300000000,2697,27150000000,50,0,21583,0,561799,0,0,0,0,0,99.999,870,5815,0,5395,0,0
"void kernelPointwiseApply2<TensorMulConstantOp<long>, long, long, unsigned int, int=1, int=1>(OffsetInfo<TensorMulConstantOp<long>, long, unsigned int>, OffsetInfo<long, long, int=1>, long, long)",360,1836,14,0,0,100,0,3316,0,0,0,0,4974,31948000000,31948000000,53984000000,3316,31948000000,0,0,0,0,451168,0,0,0,0,0,75,635,5284,0,1658,0,0
"void kernelPointwiseApply3<TensorDivOp<float>, float, float, float, unsigned int, int=1, int=1, int=2>(OffsetInfo<TensorDivOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",90,2087,14,0,0,99.998,0,5340,0,25001,0,0,3366,28938000000,25624000000,32299000000,2670,25624000000,54.906,0,134845,0,1031598,0,0,0,0,0,89.572,246,3319,5.941,5340,0,0
"void kernelPointwiseApply3<ELUupdateGradInput_functor<float>, float, float, float, unsigned int, int=1, int=1, int=2>(OffsetInfo<ELUupdateGradInput_functor<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",80,2100,11,0,0,100,0,5416,0,43328,0,0,5416,50137000000,25068000000,50137000000,2708,25068000000,50,0,64992,0,846304,0,0,0,0,0,100,1154,5673,0,5416,0,0
"void kernelPointwiseApply3<TensorDivOp<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<TensorDivOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",90,2127,14,0,0,99.998,0,5340,0,22392,0,0,5340,46596000000,23297000000,46597000000,2670,23298000000,49.999,0,134149,0,755617,0,0,0,0,0,99.998,441,5817,0,5340,0,0
"void convert_CooToCsr_kernel<int=0>(int const *, int, int, int*)",90,2201,12,0,256,47.896,0,1688,0,0,0,0,2055,16036000000,3223000000,19562000000,707,6729000000,51.544,98.736,19456,0,954675,422,844,0,32137000000,16068000000,81.977,279,2074,35.434,1688,0,0
"void kernelReduceAllPass2<long, ReduceMin<long>>(int, long, long, long*, long*)",180,2661,17,0,104,25,0,4,0,0,0,0,4,31000000,1000000,39000000,1,9000000,0,11.161,0,0,172,2,12,0,479000000,79000000,81.25,9,402,0,2,0,0
"void kernelPointwiseApply2<CopyOp<long, long>, long, long, unsigned int, int=1, int=2>(OffsetInfo<long, long, long>, OffsetInfo<CopyOp<long, long>, long, unsigned int>, long, long)",90,2720,8,0,0,100,0,6632,0,0,0,0,13264,58851000000,58851000000,117702000000,6632,58851000000,0,0,0,0,875808,0,0,0,0,0,50,1958,6869,33.333,3316,0,0
"void kernelReduceAllPass2<long, ReduceMax<long>>(int, long, long, long*, long*)",180,3024,17,0,104,25,0,4,0,0,0,0,4,32000000,1000000,39000000,1,9000000,0,11.161,0,0,172,2,12,0,480000000,79000000,81.25,10,437,0,2,0,0
"void kernelPointwiseApply2<CopyOp<float, float>, float, float, unsigned int, int=1, int=2>(OffsetInfo<float, float, float>, OffsetInfo<CopyOp<float, float>, float, unsigned int>, float, float)",360,3333,8,0,0,99.999,0,7875,0,0,6.278,0,13568,64098000000,64098000000,98440000000,7875,64098000000,41.908,0,0,0,2080516,0,0,0,0,0,62.332,3949,8867,25.04,7875,0,0
"void kernelReduceAllPass1<long, unsigned int, long, thrust::identity<long>, ReduceMin<long>, int=1>(TensorInfo<long, unsigned int>, unsigned int, long, long, thrust::identity<long>, long*)",180,3702,18,0,8192,25,0,3326,0,0,0,0,3604,21654000000,20000000,23535000000,13,84000000,35.789,81.722,26624,0,920128,858,1209,0,31580000000,22411000000,92.009,106,3784,8.294,1663,0,0
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__merge_sort::PartitionAgent<thrust::device_ptr<long>, long, ThrustLTOp<long>>, bool, thrust::device_ptr<long>, long*, long, unsigned long, long*, ThrustLTOp<long>, long, int>(thrust::device_ptr<long>, long, long, ThrustLTOp<long>, thrust::cuda_cub::__merge_sort::PartitionAgent<thrust::device_ptr<long>, long, ThrustLTOp<long>>, bool, thrust::device_ptr<long>, long*, long)",1350,3804,23,0,0,96.005,0,290,0,0,0,0,794,925000000,50000000,3624000000,11,52000000,0.966,0,0,0,12280,0,0,0,0,0,25.444,56,1188,23.986,145,0,0
"void kernelReduceAllPass1<long, unsigned int, long, thrust::identity<long>, ReduceMax<long>, int=1>(TensorInfo<long, unsigned int>, unsigned int, long, long, thrust::identity<long>, long*)",180,3848,18,0,8192,25,0,3326,0,0,0,0,3604,21217000000,20000000,23060000000,13,82000000,35.789,81.722,26624,0,920128,858,1209,0,30944000000,21960000000,92.009,103,3753,8.294,1663,0,0
"void gemmk1_kernel<float, int=256, int=5, bool=0, bool=0, bool=1, bool=0>(cublasGemmk1Params<float>, float const *, float const *, float*)",90,4874,15,272,0,96.667,0,2488,0,215824,30.305,0,1734,12284000000,129734000000,12342000000,27264,135354000000,50.391,27.683,268206,0,2655654,830,26528,0,526431000000,16470000000,99.537,22634,2384,49.141,2488,0,0
"void cunn_ClassNLLCriterion_updateGradInput_kernel<float>(float*, float*, long*, float*, float*, int, int, int, int, long)",10,4889,32,0,0,14.694,0,40,0,580,0,0,41,101000000,97000000,229000000,119,667000000,9.548,0,440,0,2496,0,0,0,0,0,44.512,76,226,34.478,40,0,0
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__merge_sort::MergeAgent<thrust::device_ptr<long>, thrust::device_ptr<long>, long, ThrustLTOp<long>, thrust::detail::integral_constant<bool, bool=1>>, bool, thrust::device_ptr<long>, thrust::device_ptr<long>, long, long*, long*, ThrustLTOp<long>, long*, long>(thrust::device_ptr<long>, thrust::device_ptr<long>, long, long, ThrustLTOp<long>, bool, bool=1, thrust::detail::integral_constant<bool, bool=1>, thrust::cuda_cub::__merge_sort::MergeAgent<thrust::device_ptr<long>, thrust::device_ptr<long>, long, ThrustLTOp<long>, thrust::detail::integral_constant<bool, bool=1>>)",270,6356,72,0,16912,100,0,7528,0,0,0,0,7186,24026000000,23925000000,25618000000,6632,23925000000,18.63,47.023,0,0,730978,5378,12631,0,182277000000,77607000000,92.789,2294,7810,3.967,3764,0,0
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__unique_by_key::UniqueByKeyAgent<thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::equal_to<long>, int, int*>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::equal_to<long>, int*, int, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, unsigned long>(thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, long, thrust::equal_to<long>, int, int*, thrust::cuda_cub::__unique_by_key::UniqueByKeyAgent<thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust",90,6541,64,0,2576,99.06,0,8002,0,0,8.876,0,7423,29860000000,28200000000,30293000000,6716,28467000000,4.872,92.55,0,0,414534,3778,3842,0,65142000000,64057000000,98.573,2283,7693,52.969,4001,0,0
"void kernelPointwiseApply2<WrapIndexOp, long, long, unsigned int, int=1, int=1>(OffsetInfo<long, unsigned int, int=1>, OffsetInfo<long, unsigned int, int=1>, unsigned int, WrapIndexOp)",190,7415,32,0,0,100,0,24795,0,0,0,0,24795,96063000000,96063000000,96063000000,24795,96063000000,0,0,0,0,3175285,0,0,0,0,0,100,17184,25330,0,12397,0,0
"void kernelReduceContigDim<float, unsigned int, float, thrust::identity<float>, ReduceAdd<float>, thrust::identity<float>, int=1, int=1>(TensorInfo<float, unsigned int>, TensorInfo<float, unsigned int>, unsigned int, unsigned int, float, float, thrust::identity<float>, float)",90,7557,15,0,128,12.5,0,5416,0,105311,0,0,2933,9787000000,1240000000,10766000000,2708,9927000000,32.312,11.581,105311,0,1762908,2708,43328,0,635401000000,39712000000,94.444,312,3476,50.498,5416,0,0
"void kernelPointwiseApply2<TensorTakeOp<float, int, int=-2>, float, long, unsigned int, int=1, int=1>(OffsetInfo<int, TensorTakeOp<float, int, int=-2>, float>, OffsetInfo<int=-2, TensorTakeOp<float, int, int=-2>, long>, TensorTakeOp<float, int, int=-2>, float)",180,8029,32,0,0,100,0,3316,0,0,0,0,15791,10793000000,5396000000,51400000000,1658,5396000000,9.511,0,0,0,424640,0,0,0,0,0,20.999,9825,16649,0.147,3316,0,0
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__merge_sort::MergeAgent<thrust::device_ptr<long>, thrust::device_ptr<float>, long, ThrustLTOp<long>, thrust::detail::integral_constant<bool, bool=1>>, bool, thrust::device_ptr<long>, thrust::device_ptr<float>, long, long*, float*, ThrustLTOp<long>, long*, long>(thrust::device_ptr<long>, float, thrust::device_ptr<float>, long, long, ThrustLTOp<long>, bool, bool=1, thrust::detail::integral_constant<bool, bool=1>)",1080,8764,70,0,16912,100,0,45810,0,0,0,0,40906,73874000000,73490000000,76516000000,39239,73490000000,27.939,35.302,0,0,4989303,26284,102249,0,776519000000,196903000000,96.467,29649,40837,2.062,29444,0,0
"void at::native::_GLOBAL__N__54_tmpxft_0000343e_00000000_10_SoftMax_compute_70_cpp1_ii_826a4626::cunn_SoftMaxBackward<int=2, float, float, at::native::_GLOBAL__N__54_tmpxft_0000343e_00000000_10_SoftMax_compute_70_cpp1_ii_826a4626::LogSoftMaxBackwardEpilogue>(float*, float, float, int)",10,10486,23,0,128,50,0,16248,0,297880,0,0,14217,20209000000,6735000000,40418000000,4739,13472000000,33.338,10.119,547016,0,5692216,8124,48744,0,554316000000,92385000000,50,1614,5973,70.437,16248,0,0
"sgemm_32x32x32_NT",10,11942,153,16912,0,100,0,21712,0,14165760,83.508,0,7151,25590000000,58362000000,116984000000,21664,58362000000,68.752,76.474,8421120,0,3242240,57120,87040,0,937947000000,615527000000,21.875,14886,3825,16.393,21712,0,0
"void at::native::apply::coalesceValuesKernel<float, float>(long*, at::native::apply::coalesceValuesKernel<float, float>, float*, float, long, long, long)",90,15166,32,0,0,12.5,0,172428,0,13264,0,0,53055,11656000000,2913000000,93252000000,13264,23313000000,64.285,0,13264,0,29286912,0,0,0,0,0,12.5,1560,9191,86.874,172428,0,0
"void csrMmt_hyb_core<float, int=3, int=5>(float, float, float const *, float const *, float const *, int const *, int const *, float const *, float*, int, int, int, int, int, int, bool)",90,16858,32,3496,0,89.003,0,23997,0,277081,9.719,0,16870,25656000000,4125000000,29070000000,3001,4636000000,52.136,16.115,170969,0,1854864,4004,16886,0,104380000000,24749000000,90.26,1953,7738,59.515,23997,0,0
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__merge_sort::BlockSortAgent<thrust::device_ptr<long>, thrust::device_ptr<long>, long, ThrustLTOp<long>, thrust::detail::integral_constant<bool, bool=1>, thrust::detail::integral_constant<bool, bool=0>>, bool, thrust::device_ptr<long>, thrust::device_ptr<long>, long, long*, long*, ThrustLTOp<long>>(thrust::device_ptr<long>, thrust::device_ptr<long>, long, long, ThrustLTOp<long>, bool, bool=1)",90,27097,104,0,16912,100,0,7144,0,0,0,0,6696,7457000000,7439000000,7511000000,6632,7439000000,1.42,28.907,0,0,2512804,62736,89553,0,401852000000,281516000000,99.283,2371,10419,0.48,3572,0,0
"void kernelPointwiseApply2<TensorPutAccumulateOp<float, int, int=-2>, float, long, unsigned int, int=1, int=1>(OffsetInfo<int, TensorPutAccumulateOp<float, int, int=-2>, float>, OffsetInfo<int=-2, TensorPutAccumulateOp<float, int, int=-2>, long>, TensorPutAccumulateOp<float, int, int=-2>, float)",190,46963,32,0,0,41.102,0,248581,0,99182,0,0,220435,51849000000,7196000000,127977000000,32733,19007000000,27.158,0,99182,0,3143772,0,0,0,0,0,43.323,17469,43935,82.922,160886,0,0
"void gemv2N_kernel_val<float, float, float, int=128, int=32, int=4, int=4, int=1>(float, float, cublasGemv2Params_v2<float, float, float>)",90,51376,32,2560,0,49.306,0,33432,0,485225,0,0,72761,19293000000,1000000,42813000000,4,2000000,0,12.114,275964,0,1182987,7296,27116,0,63820000000,17171000000,45.198,633,29918,61.639,33432,0,0
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__merge_sort::BlockSortAgent<thrust::device_ptr<long>, thrust::device_ptr<float>, long, ThrustLTOp<long>, thrust::detail::integral_constant<bool, bool=1>, thrust::detail::integral_constant<bool, bool=0>>, bool, thrust::device_ptr<long>, thrust::device_ptr<float>, long, long*, float*, ThrustLTOp<long>>(thrust::device_ptr<long>, float, thrust::device_ptr<float>, long, long, ThrustLTOp<long>, bool)",190,57003,82,0,16912,99.993,0,38815,0,0,0,0,37590,19171000000,19145000000,19349000000,37193,19145000000,25.903,22.041,0,0,18208700,274288,834066,0,1718346000000,564822000000,98.942,30899,42856,50.307,26385,0,0
"sgemm_32x32x32_TN",90,80707,153,16912,0,94.444,0,653530,0,224775936,74.628,0,607106,215629000000,508000000,948737000000,1286,510000000,76.569,67.157,112704597,0,7609400,229749,453063,0,720418000000,365325000000,22.904,23342,443877,26.011,653530,0,0
"void kernelTransformReduceInnermostDimIndex<long, long, MaxValuePair<long, long>>(long*, long*, long*, unsigned int, unsigned int, thrust::pair<long, long>, long)",90,126746,16,8704,0,50,0,6632,0,0,0,0,6632,936000000,0,936000000,2,0,0.03,68.636,0,0,275268,80,30,0,16000000,45000000,100,249,21182,0,3316,0,0
"void gemmk1_kernel<float, int=256, int=5, bool=0, bool=0, bool=0, bool=0>(cublasGemmk1Params<float>, float const *, float const *, float*)",90,143509,15,272,0,88.845,0,57630,0,7563444,59.084,0,23584,13250000000,211080000000,13270000000,1031748,237582000000,45.837,52.809,9404884,0,78850460,14450,460360,0,424031000000,13309000000,99.853,911176,9619,45.474,57630,0,0
"sgemm_128x128x8_NT_vec",80,157076,128,16912,0,88.845,0,119328,0,151038976,11.903,0,105078,24585000000,189140000000,24585000000,1031748,212887000000,41.781,68.66,79670272,0,42727872,325248,635624,0,524610000000,268442000000,100,915721,40530,46.518,29832,0,0
"sgemm_128x128x8_NT",10,157672,128,16912,0,88.845,0,119328,0,151038976,78.035,0,91628,21563000000,189596000000,86274000000,1031748,213400000000,52.596,68.7,79670272,0,44214720,325248,635008,0,525366000000,269089000000,24.995,915686,48229,46.282,119328,0,0
